Name,Product,Informed consent,Privacy,Information security,Physical safety,Trust,Sustainability,Other
P55,Smart cabin,"It needs to let the user know the purpose of using the sensor to detective environmental condition Such as Light controller system, first-aid system, Air-conditioner system and their emotional situation such as Emotional sensitivities or health condition ( comfortable level, underlying disease) is to provide the better journey experience to increase the comfort level and prevent the potential danger of the user. The data will be used to analyze user behaviour and not share with others and used for other purposes.","The sensors detective the user behaviour, and it will also reflect the user health condition and their habit of sitting for a long time. So it is essential to keep the data secret and make sure the database will reflect the state of the period time of the journey on the flight.","For the device, the user (touch screen) lacks attestation and doesn't need to use the password to access the touch screen. It also doesn't have secure local storage. For the server-side, it lacks secure identity and signatures. When IoT components have sensors coupled to communicators, it will also potentially lose the data.","The smart cabin system can detect the potential emergency health condition of the passenger and give a time measurement for the user; for example, A passenger who recently underwent surgery suddenly starts shaking and sweating. Immediate attention and first aid may be necessary to prevent this passenger from collapsing and dying on board an embolism or heart attack. So it is pretty essential to improve the accuracy of detecting the user's health condition and preventing the accident event happens.","The user and provider( attendants, database) need to trust each other. The user could reliably use the product and ask for their demand through the touch screen. The provider should keep the data secretly. The trustworthiness for both sides could establish trust for each other, and the user will also choose to use the same product /service the next time.",The smart cabin could use Low energy consumption and long time duration sensors in the whole system. The smart seat also should be repairable and easy to maintain when some part is broken. It needs to keep the balance of safety and sustainability when the flight company selects the component of the plane.,
P56,Smart cabin,"When booking a flight in the smart cabin the passenger should consent to the smart seat. It should be clear when booking what sensors the smart seat has and how the data is used, if the data is saved and how it is protected. ","The smart seat collectes a lot of very personal information like the weight, temperature and sounds  of the passenger. But also how much the passenger move in his/her seat and what her/she does for entertainment. All this data should be protected carefully. ","During flight the gathers information should stay within the plane. Upon landing the data of the fight could be stored in a database. But boeing could make the choice the only safe the data when something special happens during the flight. Or only safe it for a short amount. 

Boeing could also choose to safe it and make user profile. This can be used to analyse what one person experiences as a pleasant flight and make sure the following flights are also experienced as such. ",The smart cabin does not add to physical risks. It could help even to improve future physical safety. If a plane with a smart cabin should ever crash the smart seats can measure the reaction of the passengers. This could be used to improve the emergency plan for the future. ,"The passengers need to trust boeing, what they do with the information gathered during the flight. The smart seat could gather information about the weight, temperature and sounds  of the passenger. But could also gather information on how much they move in their seat and what the do for entertainment. This is al very personal information. ","Flying it self is not very sustainable, add to that the extra electronics (and critical materials) for the sensors and actuators and the smart cabin can not be seen as sustainable. It does not make the plane fly more economical or transport more passengers. 
You could even argue that the smart cabin makes flying more attractable. ",I think a big ethic concern is the human interaction. The smart seat would eliminate a big part of the interaction between the passenger and the steward. This could effect the work joy of the steward(ness). 
P57,Smart cabin,"For this ""smart cabin"" users must be able to give permission on using their data regarding: body posture, body temperature and noise registration for noise cancellation. Besides they should be well informed in a easy to read way how their data is used. For informing the passengers one of the regulatory frameworks as named in the paper can be used. 

I envision each of the passengers receive an easy to read statement on data usage when purchasing his/her tickets for the flight, so she/he is well informed already before the flight. 

During the flight when entering the seat, I foresee the passenger gives permission via the touchscreen, for the use of his data and can read the statement again if wanted. ","Regarding the requirements of this assignment I opt for a local network, in which the passengers data is stored only for the duration of the flight. It is not needed to store data in an online server, because it is only needed to perform certain actions, by actuators or the cabin crew during the flight. 

Besides the data is anonymised, using a IR-camera which is only suitable of tracking posture and temperature but can not recognise a particular human being. Audio files of the flight are processed within the chair and act as a real-time inout for noise cancellation. Therefor they are not stored in any form for longer than a few (mili)seconds. 

For further expanding of the system I can image passengers would get insight in there comfort levels during multiple via an app or website. For this integration a connection must be made to an external server during or after the flight uploading the data. If this would be the case the airline would take measurements for data-protection and should be transparent about third-party enclosures. Beside they must give the user the possibility to easily delete their data. 

However for this case, I have left out this option regarding the requirements of the user scenario. ","As described above for future scenarios in which the user can connect with an app/ service after landing, data must be protected well when being stored at an external server. 

But also within the plane information must be secured. However the most 'sensible' audio data is not being shared by any form of wireless connection, or stored for a long period of time. Therefore it should be hard to reach for potential hackers or third parties. 

The data being transferred throughout the local network via Bluetooth such as body temperature and posture should be protected well taking measurements on the wireless network of the plane. 

Above all, all data should be deleted from the server immediately after the plane has landed. ","The actuators in this system are: buzzers in the seat, Cooling fan, speakers and the touchscreen. When looking at physical safety the first three could have an impact like buzzing to hard causing pain, cooling too hard giving a cold, make loud sound resulting in a hearing issue. 

For each of these actuators safety limits must be build in within the controlling software or make use actuators not powerful enough to cause any harms. Besides it must be enclosed in the informed consent what the risks are when using these actuators. ","Regarding trust the informed consent plays an important role:

All motives of the system should be made clear. -> the why of these ""smart cabins"" is to create a more pleasurable flight and data will be deleted after it. So data handing is also part of it. 

Besides the system should minimise the change failing of one of the components. If the fan is not working properly you won't trust the system knows how to handle your body temperature. If components fail, it should be notipficated to the users so it can understand why the system is not working. 

","Regarding sustainability I would opt for a state of the art system, strongly weighting costs against the ""how future proof"" the system is. Looking at aircraft they've quite a long lifespan. For example choosing for uptown date wires could make it more future proof for coming data connections.

Besides it should be easy to replace integral parts such as the touchscreen design and different actuators as the speakers, fan and buzzer for replacement when broken. This should be taken into account in the design of the chair.  ",-
P58,Felyx,"In order to access the website, users must first accept the cookies. And to install the app, users must provide access to their location, camera and video usage. During this process there is the opportunity to read the 6-page general terms and conditions and 7-page privacy agreement. As Allhoff and Henschke (2018) describe in their research, these pages are often very detailed and extensive. In addition, they use technical and legal jargon that is inaccessible to many users. Because of the length and the difficult language, one can assume that most users do not read it, which raises the question of whether you have informed Felyx users well enough about the informed consent. For instance, only on page 5 of Felyx‚Äôs privacy agreement, it is mentioned that your ‚ÄòNAW‚Äô data (personal data) could be shared with third parties. In addition, there is no specific mention of which third parties your data might be shared with and what the consequences might be for you. This information could be confusing and could make users decide whether or not to agree to these terms and conditions. Furthermore, there is no alternative available if you do not want to accept the agreements but still want to use Felyx, something that is also an ethics concern according to Allhoff and Henschke (2018). There is simply an 'okay' button that you have to click to use the website or the app. 
To improve the informed consent concern, Felyx could, for example, focus more on making
the agreements understandable by putting the most important points for users in bullet points at the top of the documents. 
Another concern is that Felyx wants to include tailored advertisements on gender, age and estimated salary. However, it is not clear from where they source this data. In addition, users have not chosen to receive this tailored advertisement, which is questionable in terms of informed consent. 
","As mentioned earlier, the Felyx app requires users to provide access to their camera, video recordings and location. By sharing this information, it is claimed that your product experience improves. However, it is not clear how they use this information and for what purpose. Do they only measure your location during scooter rides, or all the time, or how long you are parked? Can they record conversations on the phone because they have access to your microphone or do observations while using your camera? This information can not only be exploited by hackers, but Felyx can also use this information to come to very specific conclusions about individuals. An example is analyzing the places often visited by scooter users. This may result in more scooters being placed in certain neighborhoods, something that enhances the product experience. On the other hand, Felyx can also use this detailed demographic information to identify preferences of places, such as certain shops or government agencies due to private problems. As Allhoff and Henschke (2018) illustrate in examples, seemingly innocuous information (such as scooter drop-off spots, spending at a shop) can lead to an exposure of extremely personal and sensitive information that may not be desired by the user. 
Another ethical concern regarding privacy is the fact that Felyx aims to use tailored advertising based on gender, age and income. The big question remains how they will obtain this information, especially income. 
Although safeguarding privacy partly falls under the responsibility of Felyx users for taken sufficient measures to ensure their privacy, part of the responsibility also belongs to companies by offering clear and well-established privacy guidelines. Given that users‚Äô privacy depends on their informed consent, as explained above users may not always realize what precisely they consent to. This implies that although in official legal terms their privacy may not be violated (though here we may wonder whether the informed consent lives up to GDPR standards), their privacy on a more moral level arguably is violated since we cannot reasonably expect users to have fully read the terms and agreements.
","It seems that Felyx obtains user location data via 4G channels using the cloud, which is often not highly secured. The smartphones could possibly be in contact with remote and opaque data receivers, as Allhoff and Henschke (2018) also discuss in their research.To make this system more secure, the costs will also increase, something that is not desirable from a business perspective. Apart from that, the Felyx app does use a password to log in. However, this is set to default and is often not changed, making it easy to hack the users‚Äô profile. Adding more comprehensive security features decreases its smooth use, which is not desirable either. Overall, it remains a difficult ethics concern.","Physical security in IoT, according to Allhoff and Henschke (2018), is '...being able to reason about the behaviour of IoT devices, especially actuators, and being able to detect and prevent unintended or unexpected behaviour' . To unlock the Felyx scooter, users scan a barcode using their phones. This is possible at all times of the day except between 1 and 6 at night, which means that the scooters are always locked at night. This is most likely set up to prevent unintended behavior: At night, there is a higher chance people are under the influence of alcohol, which could cause more scooter accidents. In addition, by preventing access at night there is also less risk of accidents caused by impeded vision due to darkness. Apart from the fact that this implementation limits Felyx to a lot of damage, the physical safety of the user is guaranteed to a certain extent by making the scooters inactive at times of higher risk of accidents. This system should also be implemented in the new e-scooters to ensure physical safety. 
Another safety aspect is the addition of a mobile phone holder to the Felyx scooter. It can be assumed that many road users use their mobile phones for navigation. By offering a mobile phone holder, it prevents dangerous driving behavior. In addition, a helmet is available with the felyx scooter to encourage users to wear it, which is legally required. However, there is no monitoring whether it is actually used. A user can therefore ride without a helmet, which endangers the physical safety of the user. A system that the scooter can only be used when the helmet is being worn would better guarantee the physical safety of the user. Or that you actively encourage the use of helmets by automatically opening the helmet-box when the scooter is activated. In addition, Felyx also wants to provide e-scooters that are not equipped with a helmet, mobile holder, mirrors, etc. Research shows that these aspects are an increased cause for accidents and that users often fail to understand the dangers associated with e-scooters (Warnick, 2019). So many physical safety aspects are not guaranteed with these new e-scooters. 
Furthermore, physical safety can be understood in public terms as well. Shared scooters create a lower sense of ownership. This can be expressed for instance by not reporting a malfunctioning scooter. If this is overlooked by Felyx management, or if they do not repair the scooter in due time, this may lead to unsafe use. In addition, a reduced sense in ownership could lead to more rule breaking that can place other people in danger, such as riding on the pavements.
","Immediately after a ride, the user can see how many minutes it has taken and therefore how much it costs (30 cents per minute). After an interview with three Felyx users, it emerged that they consider the costs to be fair and manageable. However, the amount is only debited from your bank account at the end of the month which can lead to the user having a distorted view of their spending and you possibly spending more than you really want to. 
People require trust in the system: that however long the ride for is indeed measured correctly. Efficiency/accuracy hence contribute to a user‚Äôs trust in Felyx‚Äô services. This relates to privacy concerns, as it requires Felyx to narrowly follow the user‚Äôs movements. It hence seems that a common value trade-off between privacy and efficiency/accuracy occurs here as well: less privacy improves accuracy which is necessary for users‚Äô trust. 
","Felyx claims to offer sustainable transport in cities for short trips. If you compare it to the cars, the electric scooter from Felyx is probably more sustainable since it does not emit diesel or petrol. The question remains whether Felyx will reduce car usage or is essentially competing with bicycles. If we compare it with bicycles, Felyx is much less sustainable because of its energy consumption.Besides, a scooter does not contribute to a better health of the user: one gets less exercise with a scooter compared to a bicycle. On the other hand, it does ensure that the user breathes in fewer emissions. 
Also, the materials of an electric scooter are not sustainable. The Felyx contains a 2.5 pound lithium-ion battery that is shipped to Europe from the Chinese factory NIU (Deleger, 2020). Lithium batteries are very polluting to the environment and shipping them costs a lot of CO2 emissions (Deleger, 2020). In order to transport as many people as by car, many scooters are needed and therefore also many lithium batteries.
Another interesting aspect is that a scientific study by Moreau et al. (2020) shows that shared scooters have a shorter lifetime than private scooters. This is because more damage is done with shared scooters: people feel less responsible for the scooters and it is difficult to trace small damages back to the right person. 
","An interesting ethical dilemma is who is responsible in case of an accident with a Felyx scooter. Felyx holds the user fully responsible. However, it is difficult to prove whether the Felyx scooter contributed to the accident. After all, the Felyx scooter may have had some defects that could have contributed to the accident. 
It can also be difficult to determine who damaged the scooter. For instance, passers-by may cause damage to the scooters and the last user may be held responsible by Felyx. There is little evidence to prove that this user is not accountable. The possibility of taking a photo of the scooter after use could solve this. However, the question remains to what extent the damage can be properly detected. 
"
P59,Felyx,"Users might not know that Felyx can track their destination with high precision. Thus, it is important for Felyx to communicate this with their users. For example, do they sell this information to other companies, as the information can be of high value.","Felyx has the opportunity to see where every user is going when using their service. This includes sensitive information. For example, if a user goes to a hospital, he or she might not want this information to go public. This could be a massive breach of their privacy.","Users can be tracked with high precision during their trip. If this data is not stored securely people might be able to access a persons travel history.
A way to improve the information security is to anonymize the data.
","The server gives permission for the scooter to lock/ unlock. If the device locks in the wrong moment (For example when driving on a busy street) this can cause dangerous situations.
The scooters do not have options like automated driving or steering so they do not present safety issues.
An opportunity for Felyx to improve the safety of its users is if the scooter would automatically alarm emergency services in case of an accident. This is an example of how IoT can improve safety of users. Tesla is planning to add this feature to their vehicles soon (https://www.caranddriver.com/news/a35099253/tesla-911-emergency-dialing-future/)
","Trust is highly important for Felyx. However, Felys on its own cannot give guarantee for the system to work all the time as the service is dependent on a working internet connection. If this breaks down, the service does not work at all and users who experience this might not want to use the service again.","Services like this have received a lot of criticism concerning sustainability. (https://www.techinasia.com/talk/opinion-why-bike-sharing-china-not-sustainable) As the services expand rapidly, a lot of new scooters, mopeds or bikes have to be produced. If a company goes bankrupt or changes its services, a lot of these vehicles go to waste. Also, the maintenance is a difficult topic within these businesses as users tend to take less care of these products as they are not owned. 
A question that can be raised is if the scooters (although electric) are sustainable as users who use these kind of services might otherwise have used their bike when commuting.
",
P60,Hôtel Première Classe,For this data retrieval no consent is needed when it is on the private property of the hotel.,No direct identification can be made of the person. ,The information should be well secured.,The only acuators involved are audible and visual feedback.,The system should be reliable to feel protected when staying at the Hotel.,"The system is useful because it provides a certain security for the Hotel costumers.
The end of life of the system should be envisioned.",
P61,Corona Certificate,"In this scenario, it's very hard for an individual to give consent for the Grid-EYE sensor measuring the temperature, and passing this information to the server. This problem should be solved. A possible solution is; a certain object that the user has in his/her pocket, that the Grid-EYE detects, and therefore knows that the user doesn't consent that his/her body temperature is read, and this information can't be passed to the server. A second solution could be implementing a check-in pole in a certain room or area where the body temperature is measured. If a person checks-in at this pole, it means that he/she doesn't allow the system to read the body temperature.","If the Grid-EYE sensor measures a high temperature (>37.5), this data is collected, analyzed and shared. This means it also can be shared and collected by for example the GGD, and the person can be approached as a potential covid case. This share of information should be avoided. ","The Grid-EYE sensor is connected to a communicator (server). There is a worry that the sensor can also be connected with remote and opaque data receivers. In this way information is shared with people with possible wrong interests.   
Further the location of an individual is known, where a potential hack can result in someone having access to your location and knowing whether you are at home or not. Investing in a good security system could minimize this problem.
","The use of the app and the Grid-EYE sensor shouldn‚Äôt harm the user and should be safe in use. For the Grid-Eye this means that the infrared radiation is not harmful for an individual‚Äôs health. Besides that, it shouldn‚Äôt scare the user by pointing for example a light at them, but the operation should be invisible. ","There will be lack of trust in the system once a certain data hack takes place, or information is shared with the wrong institutions. Therefore, it should be clear to the users that their temperature and location will only be shared in the app with surrounding people who don‚Äôt want to be in possible danger for covid contamination. Further no potential dangers will be shared with the GGD, but it would be a possibility to warn them, through for example an app, that they have a fever, whereafter they can possibly test themselves.
Further the insight of potential dangers nearby your location, is not completely reliable, since a fever doesn‚Äôt necessarily mean that someone has covid, and it‚Äôs also possible that an individual as other symptoms besides an increase in body temperature. 
","These new temperature measurers have to be placed in certain rooms or areas, which means there will be an increase in new products, which will potentially be unnecessary after the covid pandemic. Therefore, it‚Äôs preferred to use recyclable materials and hardware. Further, other applications for these temperature measurers can be hospitals/retirement homes, once it isn‚Äôt necessary anymore to measure the body temperatures. ",Not that I can think of at the moment
P62,Smart Home,"The solution of having a smart camera to determine of roommates are at home has a major problem with Informed consent. The owners of the product are not the only users, even the guests of the people living in the house are not explicitly informed that they are filmed, and their face is processed by a face recognition program. This group of users could notice the placed cameras. For people in the public space this becomes even worse, they are not even aware of the fact that a camera is taking images of them and use it for processing.  ","Depending on the system this video stream can be viewed live from all over the world. When the system only returns if the person is home or not it is already it is already a more privacy friendly option as the data to what someone is doing in your house can be watched. This information is sent all over the world to where the physical servers of the cloud services are located. It is possible to do this all locally, however the average user does not have the knowledge to set up a system of their own.","In created prototype the processing is done on the device itself, this has the benefit of not having to connect to the internet to check if a roommate is home. This does mean that the speed and accuracy of the processing is lower as the chip in the camera is not powerful enough to check a lot of high-resolution frames per second. A cloud-based solution has the potential to do this, quicker however this does mean that the video must be sent elsewhere
. 
When the product is using the lower bandwidth Zigbee to communicate the present values this camera cannot be watched by others, only if a roommate is present. The user should have the option to turn the camera stream on or off that uses Wi-Fi or wired internet connections. This camera feed must be encrypted so that only the user themselves can view what is happening in their homes.",A smart home system cannot hurt the user directly as the actuators are not strong enough to bring damage to the user. A more efficient life however can decrease the health of the user by doing a lot of tasks for them. The user can control all the houses functions from their lazy chair. Walking to the fridge to check the supplies or to switch on the light gives you a bit of exercise. Especially when sitting for a long time in the same posture these small breaks help to prevent RSI (Repetitive strain Injuries) symptoms.,"When the smart system is controlling your house, the place where you are feeling safe the products must be trustworthy. A few examples of situations that should or should not be happening with the use of the smart products:  Smart locks should not open by others than you and your room mates, Lights should not fail when there is an internet outage and central heating should not fail when the power is out. 

Leaving this up to smarter product that must be connected to work is a challenge and the producers of these products should keep in mind that users are thrusting them to take over a part of their lives. 
","Adding more functionalities and smartness to products does take its toll on the environment. The production of a smart product requires more electronics, and the cloud computing requires more energy than walking to your light switch and turning it on. 

On the other side the smart homes can manage devices to have more efficient and positive impact. For example, turning on the laundry machine at night when energy demand and prices are low without the users input. Central heating that switches off automatically when nobody is home has a positive impact. As most smart products are aware of their own energy use energy the user can monitor the total power and be motivated to use energy more efficiently.
","Liability always presents itself as an ethical concern when using artificial intelligence. When a program falsely recognizes a person and opens the door for a thief, who is responsible for the damages. Is it the user, product producer, the store or the software programmer? This liability has to be openly communicated to the user, so it knows its rights when something happens. "
P63,Corona Certificate,"A challenging part regarding the use of the QR code, and specifically identifying the user, is what the user gives informed consent for. In order for the system to work, the users will need to allow the test-result/vaccination status to be linked to your personal identity. If the user disagrees with linking this information, then they will be prohibited from travelling.

Therefore there is a dilemma, should people who do not give consent still be able to travel with a verified document regarding their status? Or is it all centralised through the QR code?","Some might say there is no harm with collecting information about the status of the person, but a generation ago still remembers how the holocaust used good Dutch track-records to find and identify Jews (and other minorities) in the Netherlands. Taking this thought to the extreme, this data can be maliciously used by people who are anti or pro vaccination. For that reason the data contains very sensitive data that should be protected.","As the data is sensitive, high levels of data encryption is necessary. In todays age, intercepting and infiltrating systems is a common problem that will likely be attempted with a system like this: think about it, you haven't been vaccinated and don't want to get tested but you still want to travel and you're good with computers... As a precaution, the data should be encrypted with AES. RSA, or another form of encryption (experts will know what is best) to ensure only eligible people can acces the data.","The system itself will not harm people directly. On the contrary, the effectiveness of vaccines, negative tests, recovery are not reliable/known enough. Is allowing 1 million people where 10% may have a false negative/still sick despite vaccination and where 1% of these people might be sick and infectious (based on number of people infectious in the Netherlands 17 May: RIVM, 2021) safe? In that case 1000 people may be infectious and travelling. People might have a false sense of safety leading to new outbreaks with different variants in the future, leading to more deaths and health complications.","In the case of travellers, it is to be expected that border control is rigid and can be trusted. Yet there might be very few cases where inappropriate control will allow people without a certificate to travel anyways.

When looking at using a system like this for events like a soccer match or a bar, then controlling is in the hands of the stadium or the bar owner. Especially in the case of the bar owner, it is in their interest to have as many clients as possible and may therefore control loosely or not at all. In this case private organisations with a personal interest/motive not to check should not use this system.","More data, more storage and more data centres is consuming an increasing amount of energy. Should we really keep developing more digital systems or should there be a cap? The benefits in this case outweigh the impact as it may save many lives and allow the economy to open. However, building these data centres will challenge our goals of reaching energy neutrality and reducing use of rare materials. Our increasing dependance will mean a cycle of building more and using more.","There are several other ethical implications that I will discuss in more detail during my presentation:

Privileging fortunate people who are able to get a vaccine as opposed to unprivileged people.

Penalizing religious or philosophical objections to vaccinations.

Governments will restrict physical access to essential settings such as workplaces, schools, and health care institutions, if this system is implemented in day to day life. Essentially this will indirectly force people to get a vaccination.
 
"
P64,Nike gym shirt,"Since the shirt is gathering data about such sensitive information as the body‚Äôs biological parameters, proper informed consent is necessary. The user should be precisely informed about which body functions are monitored and which data is gathered.  The user should be also enlightened about the usage of all data, because that‚Äôs the most important factor and the most frequently overlooked. The app might also collect not specifically crucial information about user preferences, which only serve the interest of the company, but this should be also cleared. Another important aspect is who the information is shared with, if it is shared with external parties or not. These should be phrased in an easily understandable and compact form, with a realistic reading time. After correctly informed, by using the device the customer gives permission to the collection of these information. ","Privacy is especially important in the context of health devices. In the case of the Tech shirt, the device and by that, Nike can have tremendous amount of biometrics data for each person. But more innocent data, like when or how long does each person is using the shirt and the habitual patterns and personality types derived from it can be accessed through the product.","There is a risk that the data about the biological parameters is being distributed to third parties or being used for marketing purposes without the user‚Äôs knowledge. It is also possible that the information is not stored securely and the communication between the shirt module and the app or cloud is not encrypted. In these cases, the more you wear the shirt, the more data might become available for unwanted collectors. Strong encryption techniques like Secure Sockets Layer (SSL) or Public Key Infrastructure (PKI), together with appropriate authorization and authentication algorithms could be implemented for incerased data security.","Nike has a special responsibility in designing the shirt physically safe, since every part is in very close contact with the body. It contains many electronic components and electricity is running through the whole shirt. Because of the sweat during exercises, the electronic parts need to be waterproof and it must be ensured, that the electricity cannot get in contact with the skin. Furthermore, in case of a sensor‚Äôs malfunction which wrongfully measures the heart rate for example, it might suggests very intense exercises which can be harmful for the user if executed. Similarly, other error could result in not notifying the user in case of overtraining.","Trust is closely connected to physical safety, but also to seeing the effects of the smarter training with the help of the shirt. If the person is using the shirt as intended, it has to rely on it‚Äôs analytics and decision about the recommended weights, exercise types, activities, etc. This requires the user to trust the device and follow the suggestions, which places a huge responsibility on Nike. The user can easily lose trust towards the shirt if a sensor doesn‚Äôt work properly or if the algorithm is not smart enough to give correct advices on the activities. Not respecting the user‚Äôs privacy also results in lack of trust.","Some legit concerns with regards to sustainability is making the product long lasting and recycling at the end of life. The shirt is being used in very active situations, therefore it needs to be washed several times during its life. The electronics inside as well as the fabric material should withstand this intense washing cycles. To ensure the end of life potential of the materials, Nike should establish a collection system which after they can separate the electronics and plastics from the textile and correctly reuse or recycle them.",
P65,Felyx,"The game controller may collect user's hand size and disease progress information of people with Duchenne, and use them in adjustable custom made module on game controller. The users need to know what exactly data of their body and disease situation will be collected and used in where.","The user information that game controllers collected, such as data of body (hand) size and disease progress of people with Duchenne, should not be shared or sold by the controller making company Yumen Bionics.","The information of users with Duchenne that stored in cloud may be gotten by other companies or people, which are potential violations of privacy and informed consent. The information may be gotten through communication between devices.","The game controllers may become unsafe and unhealthy as the developing progress of Duchenne disease. When users' hand have lower and lower force to use the game controller, if they do not change a new adjustable component on the game controller, the original controller may cause some bad influence on their hands, even improve the disease progress.","The company Yumen Bionics and users need to build a trustworthy relationship. It is important to make users have confidence of game controllers, and believe if they use it following instructions then playing video games will be easy and healthy. If users are confident that their data privacy will be respected, then we have established trust. If users lose the trust and do not following the instruction when they using it, then it may lead to negative results.","As Duechnne is a kind of disease that will become worse and worse as time goes by, one day people with Duchenne will not be able to play video games anymore. Therefore the game controller need to be easy to recycle or reuse after gamer with Duchenne stop playing video games.",
P66,Permobil connected wheelchair,"For the sake of this discussion, I am assuming that the user is not hindered by any mental disabilities. In the final section, regarding other ethics concerns, this topic is briefly addresses separately. For now, it is assumed that the wheelchair is used by someone solely coping with physical disabilities.

When starting this assignment, I set out a goal, stating that I wanted to focus on meeting all requirements in a non-invasive way. This brings a lot of good things, as it does not hinder the user in the day-to-day activities. Additionally, people with disabilities do not want to stand out, they want to have a life that is as normal as possible, which also fully aligns with the vision set out by Dr. Per Uddén. 

However, this does come at a cost: the user might not even be aware of the measurement and tracking capabilities that the wheelchair is equipped with, as they are non-invasive. Hence, it is argued that these capabilities are not enabled when the wheelchair is first begin put to use. When the user gets to use the wheelchair for the first time and links the app to the wheelchair, the app will show instructions on how to use the wheelchair. Additionally, it will show the user which features the wheelchair has, how and what it measures and what happens with this data. Note that it shows the user these features, to prevent the user from skipping long terms of conditions texts. Once the user is aware of these features, he or she can determine to keep them all off, turn them all on, or to select a few specific features to be used. Of course, these settings can be changed in the app later. These steps ensure that the user is aware of what is being measured, and consents to this happening.","The topic of privacy might be one of the most difficult topics regarding this smart wheelchair. As the wheelchair is literally an extension of the person‚Äôs body, it is highly personal, and as such all collected data is too. During the design of the IoT architecture, it was emphasised that exact numbers, for example on heart rates, or accelerations, were not required, only an order of magnitude is sufficient to fulfil the requirements. Nevertheless, one could derive quite some information from the user based on this data, for example the combination of heart rate, respiratory rate, wheel rotations, and accelerometer data would be sufficient to fairly accurate predict if the user is resting and/or sleeping, or not, interesting data for people with bad intentions. Additionally, some of the data collected should be visible for the user and his caretakers, but not for the company. Permobil already gathers data on for example the battery status to perform fleet management, but does absolutely not need data on the patient‚Äôs health. 

A solution could be to only store health data locally, and communicate this to the user‚Äôs phone or to the GSM module in case of emergency. This would however not allow to either assess the user‚Äôs health remotely (for example for remote caretakers) or to run remote machine learning models, something that is often deemed desirable over running them locally due to computational constraints. Hence, the only solution for this is for Permobil to set high ethical standards, being critical in which data is stored and communicated where and to whom, to ensure the privacy of the user is protected.","In the designed architecture, three communication streams are envisioned, as well as three data storage locations. These will be discussed separately.

The communications streams are the Bluetooth connection between the wheelchair and the user‚Äôs phone, the GSM connection to external caretakers in case of emergency, and the internet connection between the user‚Äôs phone and the Permobil servers to transmit data back and forth. The Bluetooth connection is relatively safe, as it is local and set up using the app, after which is not easy to access it remotely. The GSM connection is also quite safe, as it is only used rarely and does not provide any specific information apart from an alert call to caretakers. The connection between the user‚Äôs phone and the Permobil servers is expected to be the weak spot in the communication streams, as it is remotely accessible for persons with bad intentions. Many things need to be in order for a safe connection, e.g. the user‚Äôs home network‚Äôs Wifi password, but the data also needs to be encrypted, and Permobil needs to take care of their security as well, which leads us to the second topic: data storage.

The data stored at Permobil is probably most interesting for this discussion. Large databases are interesting for people with bad intentions, and it would not be the first time the news headlines mention that a large collection of personal information is leaked. Hence, it would be of importance for Permobil to store the lowest amount of data possible, and to do this safely. The data storage on the phone can be very minimal as well, as it can request the data from the wheelchair or servers whenever desired. The data stored on the wheelchair itself is probably safest, as people would need to physically access the storage device, which is likely to be hidden deep in the wheelchair itself. It is quite unlikely this data will ever be accessed by anyone not allowed to do so.","A major upside of the intended system is that it does not actuate the wheelchair, meaning that the data is only used for monitoring purposes, not for actuation. Even if the entire system were to crash, read false values, or fail in any other way, the user can never be harmed by this system. The only possible actuation is where the system turns off the motors in when the accelerometer detects a crash, major impact, or toppling. To ensure that the user will not get stuck at a dangerous location, such as a railroad crossing, a manual override button is added, which allows the user to suppress the emergency detection and reactive the wheelchair‚Äôs motors.","For the user to trust the added features of the wheelchair, it is of importance that it functions properly and that all other aspects of ethics in IoT are addressed well. When, for example, the implications of this system on privacy are a concern to the user, he will most likely not trust the system. Regarding the functioning of the system, it is of key importance to prevent false negatives and positives. When for example the user topples in a remote location, he expects the wheelchair to automatically trigger the alarm function and inform caretakers. If this does not happen, the user might be stuck for hours, waiting for someone to find him. This would be considered a false negative, as the system indicates the user is not in an emergency, while he actually is. One can imagine that only one such event is sufficient to complete destroy the user‚Äôs trust in the system. Additionally, false positives could also reduce the user‚Äôs trust in the system. When the wheelchair triggers an emergency, while the user actually is fine, it might be considered embarrassing when caretakers come rushing in. Also, if this happens a few times, caretakers will start ignoring the alerts, which could be catastrophic in case of a real emergency. Hence, ensuring that the systems triggers an emergency at the right moments is crucial to develop trust in the system.","The proposed additions to the system are marginal compared to the already existing wheelchair. The current products contain lots of plastics, batteries, rubbers for the tires and seats. Hence, the sustainability impact of the introduced architecture is neglectable compared to the other elements of this product. If sustainability would be a focus point of Permobil, they would be better of focussing on improving other areas, over the minor impact of a few added sensors and the electricity used by the system.","As mentioned in te first concern, it was assumed that the user only faces physical disabilities, meaning that mentally he is well aware to properly evaluate the system and consent to using the newly introduced features. However, it is not unlikely that people using these systems might have mixed disabilities, meaning they are also coping with mental disabilities. In these cases, special attention should be paid to the topic of ethics, as it will be more difficult to ensure that the user is aware of what the system is doing. Most likely, this would require the legally assigned representative of the user to assess the system and to consent to using its features."
